Código IBGE,Nome do Município,Código UF,UF,Estado,Latitude,Longitude,População
5200050,Abadia de Goiás,52,GO,Goiás,-16.7573,-49.4412,8207
3100104,Abadia dos Dourados,31,MG,Minas Gerais,-18.4831,-47.3916,7059
5200100,Abadiânia,52,GO,Goiás,-16.197,-48.7057,18775
3100203,Abaeté,31,MG,Minas Gerais,-19.1551,-45.4444,23611
1500107,Abaetetuba,15,PA,Pará,-1.72183,-48.8788,153380
2300101,Abaiara,23,CE,Ceará,-7.34588,-39.0416,11605
2900108,Abaíra,29,BA,Bahia,-13.2488,-41.6619,9199
2900207,Abaré,29,BA,Bahia,-8.72073,-39.1162,20189
4100103,Abatiá,41,PR,Paraná,-23.3049,-50.3133,7768
4200051,Abdon Batista,42,SC,Santa Catarina,-27.6126,-51.0233,2604
1500131,Abel Figueiredo,15,PA,Pará,-4.95333,-48.3933,7231
4200101,Abelardo Luz,42,SC,Santa Catarina,-26.5716,-52.3229,17847
3100302,Abre Campo,31,MG,Minas Gerais,-20.2996,-42.4743,13733
2600054,Abreu e Lima,26,PE,Pernambuco,-7.90072,-34.8984,99364
1700251,Abreulândia,17,TO,Tocantins,-9.62101,-49.1518,2571
3100401,Acaiaca,31,MG,Minas Gerais,-20.359,-43.1439,4065
2100055,Açailândia,21,MA,Maranhão,-4.94714,-47.5004,111339
2900306,Acajutiba,29,BA,Bahia,-11.6575,-38.0197,15727
1500206,Acará,15,PA,Pará,-1.95383,-48.1985,54096
2300150,Acarape,23,CE,Ceará,-4.22083,-38.7055,16543
2300200,Acaraú,23,CE,Ceará,-2.88769,-40.1183,62199
2400109,Acari,24,RN,Rio Grande do Norte,-6.4282,-36.6347,11333
2200053,Acauã,22,PI,Piauí,-8.21954,-41.0831,6966
4300034,Aceguá,43,RS,Rio Grande do Sul,-31.8665,-54.1615,4759
2300309,Acopiara,23,CE,Ceará,-6.08911,-39.448,53572
5100102,Acorizal,51,MT,Mato Grosso,-15.194,-56.3632,5269
1200013,Acrelândia,12,AC,Acre,-9.82581,-66.8972,14366
5200134,Acreúna,52,GO,Goiás,-17.396,-50.3749,22076
3100500,Açucena,31,MG,Minas Gerais,-19.0671,-42.5419,9997
3500105,Adamantina,35,SP,São Paulo,-21.682,-51.0737,35139
5200159,Adelândia,52,GO,Goiás,-16.4127,-50.1657,2564
3500204,Adolfo,35,SP,São Paulo,-21.2325,-49.6451,3609
4100202,Adrianópolis,41,PR,Paraná,-24.6606,-48.9922,6254
2900355,Adustina,29,BA,Bahia,-10.5437,-38.1113,17349
2600104,Afogados da Ingazeira,26,PE,Pernambuco,-7.74312,-37.631,37017
2400307,Afonso Bezerra,24,RN,Rio Grande do Norte,-5.49229,-36.5075,11211
3200102,Afonso Cláudio,32,ES,Espírito Santo,-20.0778,-41.1261,32361
2100105,Afonso Cunha,21,MA,Maranhão,-4.13631,-43.3275,6486
2600203,Afrânio,26,PE,Pernambuco,-8.51136,-41.0095,19411
1500305,Afuá,15,PA,Pará,-0.154874,-50.3861,38144
2600302,Agrestina,26,PE,Pernambuco,-8.45966,-35.9447,24644
2200103,Agricolândia,22,PI,Piauí,-5.79676,-42.6664,5062
4200200,Agrolândia,42,SC,Santa Catarina,-27.4087,-49.822,10581
4200309,Agronômica,42,SC,Santa Catarina,-27.2662,-49.708,5437
1500347,Água Azul do Norte,15,PA,Pará,-6.79053,-50.4791,26682
3100609,Água Boa,31,MG,Minas Gerais,-17.9914,-42.3806,14370
5100201,Água Boa,51,MT,Mato Grosso,-14.051,-52.1601,24501
2700102,Água Branca,27,AL,Alagoas,-9.262,-37.938,20467
2200202,Água Branca,22,PI,Piauí,-5.88856,-42.637,17119
2500106,Água Branca,25,PB,Paraíba,-7.51144,-37.6357,10258
5000203,Água Clara,50,MS,Mato Grosso do Sul,-20.4452,-52.879,14992
3100708,Água Comprida,31,MG,Minas Gerais,-20.0576,-48.1069,2058
4200408,Água Doce,42,SC,Santa Catarina,-26.9985,-51.5528,7154
2100154,Água Doce do Maranhão,21,MA,Maranhão,-2.84048,-42.1189,12457
3200169,Água Doce do Norte,32,ES,Espírito Santo,-18.5482,-40.9854,11893
2900405,Água Fria,29,BA,Bahia,-11.8618,-38.7639,17508
5200175,Água Fria de Goiás,52,GO,Goiás,-14.9778,-47.7823,5613
5200209,Água Limpa,52,GO,Goiás,-18.0771,-48.7603,1967
2400406,Água Nova,24,RN,Rio Grande do Norte,-6.20351,-38.2941,3260
2600401,Água Preta,26,PE,Pernambuco,-8.70609,-35.5263,36371
4300059,Água Santa,43,RS,Rio Grande do Sul,-28.1672,-52.031,3841
3500303,Aguaí,35,SP,São Paulo,-22.0572,-46.9735,35508
3100807,Aguanil,31,MG,Minas Gerais,-20.9439,-45.3915,4440
2600500,Águas Belas,26,PE,Pernambuco,-9.11125,-37.1226,43087
3500402,Águas da Prata,35,SP,São Paulo,-21.9319,-46.7176,8104
4200507,Águas de Chapecó,42,SC,Santa Catarina,-27.0754,-52.9808,6445
3500501,Águas de Lindóia,35,SP,São Paulo,-22.4733,-46.6314,18509
3500550,Águas de Santa Bárbara,35,SP,São Paulo,-22.8812,-49.2421,6009
3500600,Águas de São Pedro,35,SP,São Paulo,-22.5977,-47.8734,3268
3100906,Águas Formosas,31,MG,Minas Gerais,-17.0802,-40.9384,19416
4200556,Águas Frias,42,SC,Santa Catarina,-26.8794,-52.8568,2387
5200258,Águas Lindas de Goiás,52,GO,Goiás,-15.7617,-48.2816,195810
4200606,Águas Mornas,42,SC,Santa Catarina,-27.6963,-48.8243,6298
3101003,Águas Vermelhas,31,MG,Minas Gerais,-15.7431,-41.4571,13576
4300109,Agudo,43,RS,Rio Grande do Sul,-29.6447,-53.2515,17085
3500709,Agudos,35,SP,São Paulo,-22.4694,-48.9863,36880
