codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id
5200050,Abadia de Goiás,-16.7573,-49.4412,0,52,1050
3100104,Abadia dos Dourados,-18.4831,-47.3916,0,31,4001
5200100,Abadiânia,-16.197,-48.7057,0,52,9201
3100203,Abaeté,-19.1551,-45.4444,0,31,4003
1500107,Abaetetuba,-1.72183,-48.8788,0,15,401
2300101,Abaiara,-7.34588,-39.0416,0,23,1301
2900108,Abaíra,-13.2488,-41.6619,0,29,3301
2900207,Abaré,-8.72073,-39.1162,0,29,3303
4100103,Abatiá,-23.3049,-50.3133,0,41,7401
4200051,Abdon Batista,-27.6126,-51.0233,0,42,9939
1500131,Abel Figueiredo,-4.95333,-48.3933,0,15,375
4200101,Abelardo Luz,-26.5716,-52.3229,0,42,8001
3100302,Abre Campo,-20.2996,-42.4743,0,31,4005
2600054,Abreu e Lima,-7.90072,-34.8984,0,26,2631
1700251,Abreulândia,-9.62101,-49.1518,0,17,337
3100401,Acaiaca,-20.359,-43.1439,0,31,4007
2100055,Açailândia,-4.94714,-47.5004,0,21,961
2900306,Acajutiba,-11.6575,-38.0197,0,29,3305
1500206,Acará,-1.95383,-48.1985,0,15,403
2300150,Acarape,-4.22083,-38.7055,0,23,1231
2300200,Acaraú,-2.88769,-40.1183,0,23,1303
2400109,Acari,-6.4282,-36.6347,0,24,1601
2200053,Acauã,-8.21954,-41.0831,0,22,266
4300034,Aceguá,-31.8665,-54.1615,0,43,1118
2300309,Acopiara,-6.08911,-39.448,0,23,1305
5100102,Acorizal,-15.194,-56.3632,0,51,9001
1200013,Acrelândia,-9.82581,-66.8972,0,12,643
5200134,Acreúna,-17.396,-50.3749,0,52,9645
2400208,Açu,-5.58362,-36.914,0,24,1603
3100500,Açucena,-19.0671,-42.5419,0,31,4009
3500105,Adamantina,-21.682,-51.0737,0,35,6101
5200159,Adelândia,-16.4127,-50.1657,0,52,9769
3500204,Adolfo,-21.2325,-49.6451,0,35,6103
4100202,Adrianópolis,-24.6606,-48.9922,0,41,7403
2900355,Adustina,-10.5437,-38.1113,0,29,3253
2600104,Afogados da Ingazeira,-7.74312,-37.631,0,26,2301
